id,value,timestamp
1,300,2024-09-10 06:08:01.644444
2,320,2024-09-10 06:08:02.644498
3,340,2024-09-10 06:08:03.644514
4,360,2024-09-10 06:08:04.644527
5,380,2024-09-10 06:08:05.644538
6,400,2024-09-10 06:08:06.644550
7,420,2024-09-10 06:08:07.644561
8,440,2024-09-10 06:08:08.644575
9,460,2024-09-10 06:08:09.644595
10,480,2024-09-10 06:08:10.644615
11,500,2024-09-10 06:08:11.644629
12,520,2024-09-10 06:08:12.644640
13,540,2024-09-10 06:08:13.644651
14,560,2024-09-10 06:08:14.644662
15,580,2024-09-10 06:08:15.644674
16,600,2024-09-10 06:08:16.644705
17,620,2024-09-10 06:08:17.644725
18,640,2024-09-10 06:08:18.644741
19,660,2024-09-10 06:08:19.644752
20,680,2024-09-10 06:08:20.644763
21,700,2024-09-10 06:08:21.644774
22,720,2024-09-10 06:08:22.644785
23,740,2024-09-10 06:08:23.644796
24,760,2024-09-10 06:08:24.644807
25,780,2024-09-10 06:08:25.644825
26,800,2024-09-10 06:08:26.644843
27,820,2024-09-10 06:08:27.644860
28,840,2024-09-10 06:08:28.644879
29,860,2024-09-10 06:08:29.644899
30,880,2024-09-10 06:08:30.644917
31,900,2024-09-10 06:08:31.644934
32,920,2024-09-10 06:08:32.644952
33,940,2024-09-10 06:08:33.644972
34,960,2024-09-10 06:08:34.644990
35,980,2024-09-10 06:08:35.645005
36,1000,2024-09-10 06:08:36.645016
37,1020,2024-09-10 06:08:37.645027
38,1040,2024-09-10 06:08:38.645041
39,1060,2024-09-10 06:08:39.645059
40,1080,2024-09-10 06:08:40.645071
41,1100,2024-09-10 06:08:41.645083
42,1120,2024-09-10 06:08:42.645097
43,1140,2024-09-10 06:08:43.645115
44,1160,2024-09-10 06:08:44.645132
45,1180,2024-09-10 06:08:45.645144
46,1200,2024-09-10 06:08:46.645155
47,1220,2024-09-10 06:08:47.645166
48,1240,2024-09-10 06:08:48.645177
49,1260,2024-09-10 06:08:49.645189
50,1280,2024-09-10 06:08:50.645207
