id,value,timestamp
1,100,2024-09-10 06:08:01.633854
2,110,2024-09-10 06:08:02.634005
3,120,2024-09-10 06:08:03.634025
4,130,2024-09-10 06:08:04.634040
5,140,2024-09-10 06:08:05.634052
6,150,2024-09-10 06:08:06.634064
7,160,2024-09-10 06:08:07.634080
8,170,2024-09-10 06:08:08.634106
9,180,2024-09-10 06:08:09.634129
10,190,2024-09-10 06:08:10.634150
11,200,2024-09-10 06:08:11.634168
12,210,2024-09-10 06:08:12.634187
13,220,2024-09-10 06:08:13.634204
14,230,2024-09-10 06:08:14.634216
15,240,2024-09-10 06:08:15.634227
16,250,2024-09-10 06:08:16.634238
17,260,2024-09-10 06:08:17.634250
18,270,2024-09-10 06:08:18.634261
19,280,2024-09-10 06:08:19.634281
20,290,2024-09-10 06:08:20.634301
21,300,2024-09-10 06:08:21.634314
22,310,2024-09-10 06:08:22.634326
23,320,2024-09-10 06:08:23.634337
24,330,2024-09-10 06:08:24.634348
25,340,2024-09-10 06:08:25.634360
26,350,2024-09-10 06:08:26.634371
27,360,2024-09-10 06:08:27.634382
28,370,2024-09-10 06:08:28.634393
29,380,2024-09-10 06:08:29.634404
30,390,2024-09-10 06:08:30.634415
31,400,2024-09-10 06:08:31.634426
32,410,2024-09-10 06:08:32.634437
33,420,2024-09-10 06:08:33.634449
34,430,2024-09-10 06:08:34.634460
35,440,2024-09-10 06:08:35.634472
36,450,2024-09-10 06:08:36.634483
37,460,2024-09-10 06:08:37.634494
38,470,2024-09-10 06:08:38.634505
39,480,2024-09-10 06:08:39.634516
40,490,2024-09-10 06:08:40.634527
41,500,2024-09-10 06:08:41.634538
42,510,2024-09-10 06:08:42.634550
43,520,2024-09-10 06:08:43.634561
44,530,2024-09-10 06:08:44.634579
45,540,2024-09-10 06:08:45.634597
46,550,2024-09-10 06:08:46.634615
47,560,2024-09-10 06:08:47.634634
48,570,2024-09-10 06:08:48.634653
49,580,2024-09-10 06:08:49.634673
50,590,2024-09-10 06:08:50.634692
